ID,name,KeyCode,TimeClick,TimeNext
1,Patryk,65,79,208
2,Patryk,84,177,335
3,Patryk,75,64,111
5,Patryk,82,128,97
6,Patryk,16,798,0
7,Patryk,80,65,4
8,Patryk,89,64,192
9,Patryk,9,79,690
7,Patryk,16,208,303
6,Patryk,73,63,192
5,Patryk,84,80,240
4,Patryk,32,80,144
3,Patryk,73,64,352
5,Patryk,83,80,127
67,Patryk,32,64,145
5,Patryk,78,63,144
66,Patryk,79,64,208
6,Patryk,84,64,111
9165,Kinga,16,18,18
9166,Kinga,75,64,112
9167,Kinga,73,48,112
9168,Kinga,78,64,112
9169,Kinga,71,48,80
9170,Kinga,65,96,240
9171,Kinga,9,80,624
9172,Kinga,16,32,32
9173,Kinga,73,64,160
9174,Kinga,84,64,80
9175,Kinga,32,48,128
9176,Kinga,73,64,48
9177,Kinga,83,96,1
9178,Kinga,32,79,160
9179,Kinga,78,48,128
9180,Kinga,79,64,209
9181,Kinga,84,95,48
9182,Kinga,32,48,272
9183,Kinga,84,80,48
9184,Kinga,72,80,48
9185,Kinga,69,96,64
9186,Kinga,32,64,128
9187,Kinga,67,112,288
9188,Kinga,82,80,64
9189,Kinga,73,96,144
9190,Kinga,84,80,112
9191,Kinga,73,80,192
9192,Kinga,67,96,80
9193,Kinga,32,144,112
9194,Kinga,87,64,64
9195,Kinga,72,64,96
9196,Kinga,79,112,272
9197,Kinga,32,128,273
9198,Kinga,67,95,320
9199,Kinga,8,48,768
9200,Kinga,67,64,32
9201,Kinga,79,64,80
9202,Kinga,85,48,128
9203,Kinga,78,64,80
9204,Kinga,84,48,161
9205,Kinga,83,127,64
9206,Kinga,32,112,592
9207,Kinga,78,128,128
9208,Kinga,79,112,80
9209,Kinga,84,48,80
9210,Kinga,32,32,224
9211,Kinga,72,80,82
9212,Kinga,69,94,16
9213,Kinga,32,80,128
9214,Kinga,77,96,33
9215,Kinga,65,95,1
9216,Kinga,78,63,144
9217,Kinga,32,80,912
9218,Kinga,87,64,320
9219,Kinga,72,80,64
9220,Kinga,79,80,112
9221,Kinga,32,80,224
9222,Kinga,80,32,32
9223,Kinga,79,96,112
9224,Kinga,73,96,80
9225,Kinga,78,64,128
9226,Kinga,84,64,224
9227,Kinga,83,96,48
9228,Kinga,32,48,624
9229,Kinga,79,64,144
9230,Kinga,85,80,208
9231,Kinga,84,16,16
9232,Kinga,32,97,159
9233,Kinga,72,80,80
9234,Kinga,79,112,16
9235,Kinga,87,96,80
9236,Kinga,32,128,672
9237,Kinga,84,64,80
9238,Kinga,72,96,48
9239,Kinga,69,80,32
9240,Kinga,32,80,64
9241,Kinga,83,80,112
9242,Kinga,84,80,64
9243,Kinga,82,81,32
9244,Kinga,79,79,96
9245,Kinga,78,80,368
9246,Kinga,71,64,129
9247,Kinga,32,127,128
9248,Kinga,77,112,16
9249,Kinga,65,96,1
9250,Kinga,78,63,96
9251,Kinga,32,112,224
9252,Kinga,83,64,192
9253,Kinga,84,64,48
9254,Kinga,85,64,128
9255,Kinga,77,80,96
9256,Kinga,66,64,144
9257,Kinga,76,96,16
9258,Kinga,69,80,128
9259,Kinga,83,96,1
9260,Kinga,32,63,112
9261,Kinga,79,96,80
9262,Kinga,82,80,16
9263,Kinga,32,80,144
9264,Kinga,72,64,256
9265,Kinga,8,80,176
9266,Kinga,87,48,48
9267,Kinga,72,49,63
9268,Kinga,69,80,128
9269,Kinga,82,112,32
9270,Kinga,69,96,32
9271,Kinga,32,80,304
9272,Kinga,84,64,48
9273,Kinga,72,96,48
9274,Kinga,69,80,16
9275,Kinga,32,112,80
9276,Kinga,68,112,0
9277,Kinga,79,64,112
9278,Kinga,69,96,80
9279,Kinga,82,81,287
9280,Kinga,32,112,208
9281,Kinga,79,64,320
9282,Kinga,68,80,96
9283,Kinga,32,96,352
9284,Kinga,8,64,80
9285,Kinga,8,64,64
9286,Kinga,70,64,1
9287,Kinga,32,95,208
9288,Kinga,70,32,240
9289,Kinga,8,80,128
9290,Kinga,68,80,128
9291,Kinga,69,32,80
9292,Kinga,69,80,81
9293,Kinga,68,111,304
9294,Kinga,83,80,96
9295,Kinga,32,80,432
9296,Kinga,67,80,64
9297,Kinga,79,64,144
9298,Kinga,85,48,144
9299,Kinga,76,64,144
9300,Kinga,68,48,32
9301,Kinga,32,48,192
9302,Kinga,72,64,48
9303,Kinga,65,82,78
9304,Kinga,86,80,64
9305,Kinga,69,96,32
9306,Kinga,32,80,96
9307,Kinga,68,112,32
9308,Kinga,79,64,128
9309,Kinga,78,65,33
9310,Kinga,69,78,48
9311,Kinga,32,79,81
9312,Kinga,84,64,64
9313,Kinga,72,80,48
9314,Kinga,69,96,32
9315,Kinga,77,48,96
9316,Kinga,32,80,113
9317,Kinga,66,79,48
9318,Kinga,69,64,160
9319,Kinga,84,80,96
9320,Kinga,84,96,64
9321,Kinga,69,144,1
9322,Kinga,82,95,17
9323,Kinga,32,94,337
9324,Kinga,16,49,49
9325,Kinga,84,71,138
9326,Kinga,72,63,32
9327,Kinga,69,96,144
9328,Kinga,32,79,33
9329,Kinga,67,112,160
9330,Kinga,82,112,224
9331,Kinga,69,96,160
9332,Kinga,68,96,96
9333,Kinga,73,80,48
9334,Kinga,84,64,176
9335,Kinga,32,112,176
9336,Kinga,66,64,97
9337,Kinga,69,63,32
9338,Kinga,76,64,128
9339,Kinga,79,48,128
9340,Kinga,78,65,255
9341,Kinga,71,112,128
9342,Kinga,83,112,19
9343,Kinga,32,77,288
9344,Kinga,84,64,32
9345,Kinga,79,80,80
9346,Kinga,32,96,16
9347,Kinga,84,80,80
9348,Kinga,72,64,64
9349,Kinga,69,80,32
9350,Kinga,32,64,128
9351,Kinga,77,113,63
9352,Kinga,65,96,19
9353,Kinga,78,77,112
9354,Kinga,32,95,177
9355,Kinga,87,80,384
9356,Kinga,72,64,416
9357,Kinga,32,144,144
9358,Kinga,73,64,224
9359,Kinga,83,96,32
9360,Kinga,32,79,97
9361,Kinga,65,96,96
9362,Kinga,67,64,128
9363,Kinga,84,64,48
9364,Kinga,85,64,112
9365,Kinga,65,96,21
9366,Kinga,76,59,96
9367,Kinga,76,80,128
9368,Kinga,89,80,112
9369,Kinga,32,95,401
9370,Kinga,73,64,96
9371,Kinga,78,48,96
9372,Kinga,32,79,32
9373,Kinga,84,48,49
9374,Kinga,72,64,79
9375,Kinga,69,97,32
9376,Kinga,32,63,97
9377,Kinga,65,144,144
9378,Kinga,82,128,16
9379,Kinga,69,96,80
9380,Kinga,78,96,48
9381,Kinga,65,128,1
9382,Kinga,32,78,96
9383,Kinga,87,81,96
9384,Kinga,72,64,256
9385,Kinga,83,64,80
9386,Kinga,79,64,177
9387,Kinga,69,79,48
9388,Kinga,32,79,289
9389,Kinga,70,64,96
9390,Kinga,65,112,80
9391,Kinga,67,80,48
9392,Kinga,69,112,48
9393,Kinga,32,79,113
9394,Kinga,73,112,47
9395,Kinga,83,81,1
9396,Kinga,32,78,129
9397,Kinga,77,96,1
9398,Kinga,65,111,208
9399,Kinga,82,48,112
9400,Kinga,82,96,32
9401,Kinga,69,59900,191
9402,Kinga,32,79,129
9403,Kinga,66,160,0
9404,Kinga,89,128,160
9405,Kinga,32,111,257
9406,Kinga,68,95,48
9407,Kinga,85,81,64
9408,Kinga,83,96,48
9409,Kinga,84,80,160
9410,Kinga,32,111,113
9411,Kinga,65,144,19
9412,Kinga,78,77,80
9413,Kinga,68,112,32
9414,Kinga,32,79,769
9415,Kinga,83,96,304
9416,Kinga,69,96,432
9417,Kinga,65,176,0
9418,Kinga,84,79,97
9419,Kinga,32,79,225
9420,Kinga,65,128,18
9421,Kinga,78,78,224
9422,Kinga,68,113,79
9423,Kinga,32,96,544
9424,Kinga,66,64,18
9425,Kinga,76,78,128
9426,Kinga,79,49,95
9427,Kinga,79,79,625
9428,Kinga,68,80,256
9429,Kinga,188,80,112
9430,Kinga,32,63,128
9431,Kinga,87,114,62
9432,Kinga,72,49,112
9433,Kinga,79,80,112
9434,Kinga,32,64,0
9435,Kinga,83,79,193
9436,Kinga,84,80,160
9437,Kinga,82,112,624
9438,Kinga,73,80,176
9439,Kinga,86,96,177
9440,Kinga,69,63,176
9441,Kinga,83,80,96
9442,Kinga,32,63,465
9443,Kinga,86,64,146
9444,Kinga,76,78,78
9445,Kinga,65,79,143
9446,Kinga,73,32,32
9447,Kinga,65,95,113
9448,Kinga,78,64,96
9449,Kinga,84,80,176
9450,Kinga,76,96,63
9451,Kinga,89,81,80
9452,Kinga,32,111,385
9453,Kinga,8,63,161
9454,Kinga,76,48,304
9455,Kinga,8,64,400
9456,Kinga,32,80,96
9457,Kinga,87,80,384
9458,Kinga,72,48,112
9459,Kinga,79,81,127
9460,Kinga,32,80,63
9461,Kinga,69,80,161
9462,Kinga,82,32,95
9463,Kinga,82,97,112
9464,Kinga,83,112,65
9465,Kinga,32,94,128
9466,Kinga,87,81,80
9467,Kinga,72,80,112
9468,Kinga,79,81,143
9469,Kinga,32,47,337
9470,Kinga,67,96,0
9471,Kinga,79,63,113
9472,Kinga,77,80,31
9473,Kinga,69,97,128
9474,Kinga,83,128,32
9475,Kinga,32,111,209
9476,Kinga,83,80,400
9477,Kinga,72,64,112
9478,Kinga,79,96,23
9479,Kinga,82,72,80
9480,Kinga,84,81,47
9481,Kinga,32,80,144
9482,Kinga,65,129,383
9483,Kinga,70,81,48
9484,Kinga,65,96,192
9485,Kinga,8,64,96
9486,Kinga,8,64,64
9487,Kinga,71,96,128
9488,Kinga,65,48,48
9489,Kinga,73,79,113
9490,Kinga,78,64,96
9491,Kinga,32,63,32
9492,Kinga,65,96,1
9493,Kinga,78,48,112
9494,Kinga,68,80,31
9495,Kinga,32,80,545
9496,Kinga,65,80,128
9497,Kinga,71,80,240
9498,Kinga,73,81,143
9499,Kinga,78,64,128
9500,Kinga,32,80,1230
9501,Kinga,66,64,48
9502,Kinga,69,64,129
9503,Kinga,65,95,65
9504,Kinga,67,95,192
9505,Kinga,85,80,176
9506,Kinga,83,80,96
9507,Kinga,69,80,63
9508,Kinga,32,64,257
9509,Kinga,84,96,47
9510,Kinga,72,97,47
9511,Kinga,69,80,20
9512,Kinga,32,76,465
9513,Kinga,73,64,80
9514,Kinga,83,96,64
9515,Kinga,69,64,1
9516,Kinga,32,62,128
9517,Kinga,78,48,129
9518,Kinga,79,64,160
9519,Kinga,32,79,80
9520,Kinga,69,64,161
9521,Kinga,70,32,96
9522,Kinga,70,112,31
9523,Kinga,79,97,47
9524,Kinga,82,97,96
9525,Kinga,32,111,305
9526,Kinga,87,96,81
9527,Kinga,72,46,273
9528,Kinga,8,64,144
9529,Kinga,73,64,63
9530,Kinga,84,65,95
9531,Kinga,72,65,47
9532,Kinga,79,65,112
9533,Kinga,85,64,912
9534,Kinga,89,64,208
9535,Kinga,32,63,544
9536,Kinga,69,65,176
9537,Kinga,82,64,79
9538,Kinga,82,81,63
9539,Kinga,79,81,47
9540,Kinga,82,81,96
9541,Kinga,32,95,160
9542,Kinga,65,32,32
9543,Kinga,78,97,64
9544,Kinga,68,112,47
9545,Kinga,32,80,177
9546,Kinga,83,80,96
9547,Kinga,72,64,128
9548,Kinga,79,79,16
9549,Kinga,82,48,130
9550,Kinga,84,110,113
9551,Kinga,32,79,176
9552,Kinga,67,97,32
9553,Kinga,79,111,129
9554,Kinga,77,144,27
9555,Kinga,73,101,95
9556,Kinga,78,81,304
9557,Kinga,71,64,144
9558,Kinga,188,64,112
9559,Kinga,32,95,128
9560,Kinga,66,80,96
9561,Kinga,85,96,96
9562,Kinga,84,65,63
9563,Kinga,32,80,433
9564,Kinga,87,112,21
9565,Kinga,72,59,144
9566,Kinga,79,48,128
9567,Kinga,32,79,64
9568,Kinga,68,96,48
9569,Kinga,79,80,32
9570,Kinga,69,80,129
9571,Kinga,65,128,79
9572,Kinga,83,96,145
9573,Kinga,32,79,385
9574,Kinga,65,96,128
9575,Kinga,67,63,161
9576,Kinga,84,64,64
9577,Kinga,85,63,96
9578,Kinga,65,81,47
9579,Kinga,76,49,95
9580,Kinga,76,64,160
9581,Kinga,89,129,240
9582,Kinga,32,95,256
9583,Kinga,83,64,176
9584,Kinga,84,80,64
9585,Kinga,82,97,47
9586,Kinga,73,80,320
9587,Kinga,86,113,79
9588,Kinga,69,81,223
9589,Kinga,32,128,561
9590,Kinga,84,79,37
9591,Kinga,79,91,80
9592,Kinga,32,96,192
9593,Kinga,68,82,47
9594,Kinga,79,95,112
9595,Kinga,32,112,945
9596,Kinga,84,80,432
9597,Kinga,72,95,80
9598,Kinga,69,96,48
9599,Kinga,32,96,593
9600,Kinga,66,80,0
9601,Kinga,69,79,80
9602,Kinga,83,82,127
9603,Kinga,84,63,48
9604,Kinga,32,80,256
9605,Kinga,78,64,256
9606,Kinga,8,80,144
9607,Kinga,75,48,128
9608,Kinga,78,64,112
9609,Kinga,79,80,32
9610,Kinga,87,98,222
9611,Kinga,83,96,80
9612,Kinga,32,96,192
9613,Kinga,73,80,96
9614,Kinga,78,49,95
9615,Kinga,32,112,80
9616,Kinga,84,64,65
9617,Kinga,72,79,64
9618,Kinga,69,80,1
9619,Kinga,32,79,176
9620,Kinga,69,48,48
9621,Kinga,78,88,120
9622,Kinga,68,96,32
9623,Kinga,32,80,240
9624,Kinga,65,16,16
9625,Kinga,78,80,401
9626,Kinga,70,47,240
9627,Kinga,8,96,48
9628,Kinga,68,80,48
9629,Kinga,32,96,33
9630,Kinga,84,63,48
9631,Kinga,72,80,64
9632,Kinga,69,114,32
9633,Kinga,32,62,112
9634,Kinga,84,80,432
9635,Kinga,89,64,353
9636,Kinga,85,63,128
9637,Kinga,77,64,144
9638,Kinga,80,80,240
9639,Kinga,72,80,144
9640,Kinga,32,96,576
9641,Kinga,79,64,96
9642,Kinga,70,112,34
9643,Kinga,32,79,271
9644,Kinga,72,64,64
9645,Kinga,73,96,192
9646,Kinga,71,64,96
9647,Kinga,72,64,240
9648,Kinga,32,112,1010
9649,Kinga,78,48,59600
9650,Kinga,8,96,128
9651,Kinga,65,112,144
9652,Kinga,67,16,16
9653,Kinga,72,64,112
9654,Kinga,73,80,33
9655,Kinga,69,63,160
9656,Kinga,86,96,80
9657,Kinga,69,112,96
9658,Kinga,77,128,112
9659,Kinga,69,112,48
9660,Kinga,78,64,96
9661,Kinga,84,112,240
9662,Kinga,83,160,241
9663,Kinga,32,95,208
9664,Kinga,65,96,64
9665,Kinga,78,80,128
9666,Kinga,70,96,160
9667,Kinga,32,80,176
9668,Kinga,8,96,80
9669,Kinga,8,48,48
9670,Kinga,68,96,65
9671,Kinga,32,95,128
9672,Kinga,87,96,29
9673,Kinga,72,51,128
9674,Kinga,79,80,96
9675,Kinga,32,80,16
9676,Kinga,65,96,17
9677,Kinga,32,79,80
9678,Kinga,84,81,79
9679,Kinga,32,64,160
9680,Kinga,72,80,224
9681,Kinga,8,64,256
9682,Kinga,87,144,48
9683,Kinga,72,48,512
9684,Kinga,8,64,96
9685,Kinga,8,32,96
9686,Kinga,79,96,64
9687,Kinga,82,80,432
9688,Kinga,83,80,128
9689,Kinga,84,64,33
9690,Kinga,32,95,128
9691,Kinga,73,80,322
9692,Kinga,71,62,80
9693,Kinga,32,64,192
9694,Kinga,8,64,98
9695,Kinga,8,62,1
9696,Kinga,70,79,48
9697,Kinga,32,80,704
9698,Kinga,72,81,79
9699,Kinga,69,48,96
9700,Kinga,32,80,288
9701,Kinga,70,80,80
9702,Kinga,65,128,38
9703,Kinga,73,58,144
9704,Kinga,76,64,208
9705,Kinga,83,80,80
9706,Kinga,32,96,625
9707,Kinga,65,79,128
9708,Kinga,84,80,80
9709,Kinga,32,96,113
9710,Kinga,76,79,17
9711,Kinga,65,127,1
9712,Kinga,83,95,176
9713,Kinga,84,80,80
9714,Kinga,32,80,336
9715,Kinga,70,97,79
9716,Kinga,65,112,1
9717,Kinga,73,63,112
9718,Kinga,76,96,48
9719,Kinga,83,96,38
9720,Kinga,32,122,272
9721,Kinga,87,96,96
9722,Kinga,72,80,64
9723,Kinga,73,96,112
9724,Kinga,76,80,38
9725,Kinga,69,74,48
9726,Kinga,32,96,368
9727,Kinga,68,112,31
9728,Kinga,65,81,96
9729,Kinga,82,64,128
9730,Kinga,76,48,112
9731,Kinga,73,80,96
9732,Kinga,78,80,417
9733,Kinga,71,47,64
9734,Kinga,32,112,497
9735,Kinga,71,79,64
9736,Kinga,82,80,80
9737,Kinga,69,80,128
9738,Kinga,65,96,48
9739,Kinga,84,80,352
